episode,step,reward,mean_100
1,32,11.0,11.0
2,52,21.0,16.0
3,63,11.0,14.33
4,105,42.0,21.25
5,132,27.0,22.4
6,146,14.0,21.0
7,166,20.0,20.86
8,179,13.0,19.88
9,201,22.0,20.11
10,231,30.0,21.1
11,245,14.0,20.45
12,265,20.0,20.42
13,310,45.0,22.31
14,323,13.0,21.64
15,335,12.0,21.0
16,355,20.0,20.94
17,379,24.0,21.12
18,408,29.0,21.56
19,431,23.0,21.63
20,442,11.0,21.1
21,453,11.0,20.62
22,463,10.0,20.14
23,485,22.0,20.22
24,504,19.0,20.17
25,540,36.0,20.8
26,554,14.0,20.54
27,576,22.0,20.59
28,591,15.0,20.39
29,628,37.0,20.97
30,669,41.0,21.63
31,694,25.0,21.74
32,712,18.0,21.62
33,725,13.0,21.36
34,736,11.0,21.06
35,749,13.0,20.83
36,774,25.0,20.94
37,793,19.0,20.89
38,805,12.0,20.66
39,829,24.0,20.74
40,850,21.0,20.75
41,870,20.0,20.73
42,883,13.0,20.55
43,898,15.0,20.42
44,920,22.0,20.45
45,951,31.0,20.69
46,989,38.0,21.07
47,1000,11.0,20.85
48,1020,20.0,20.83
49,1031,11.0,20.63
50,1067,36.0,20.94
51,1088,21.0,20.94
52,1112,24.0,21.0
53,1138,26.0,21.09
54,1155,17.0,21.02
55,1175,20.0,21.0
56,1189,14.0,20.88
57,1217,28.0,21.0
58,1248,31.0,21.17
59,1258,10.0,20.98
60,1280,22.0,21.0
61,1290,10.0,20.82
62,1329,39.0,21.11
63,1351,22.0,21.13
64,1386,35.0,21.34
65,1403,17.0,21.28
66,1418,15.0,21.18
67,1432,14.0,21.07
68,1449,17.0,21.01
69,1462,13.0,20.9
70,1479,17.0,20.84
71,1488,9.0,20.68
72,1499,11.0,20.54
73,1526,27.0,20.63
74,1540,14.0,20.54
75,1558,18.0,20.51
76,1571,13.0,20.41
77,1588,17.0,20.36
78,1598,10.0,20.23
79,1608,10.0,20.1
80,1642,34.0,20.27
81,1658,16.0,20.22
82,1667,9.0,20.09
83,1684,17.0,20.05
84,1698,14.0,19.98
85,1708,10.0,19.86
86,1726,18.0,19.84
87,1742,16.0,19.79
88,1755,13.0,19.72
89,1765,10.0,19.61
90,1775,10.0,19.5
91,1789,14.0,19.44
92,1810,21.0,19.46
93,1820,10.0,19.35
94,1835,15.0,19.31
95,1851,16.0,19.27
96,1864,13.0,19.21
97,1875,11.0,19.12
98,1891,16.0,19.09
99,1903,12.0,19.02
100,1927,24.0,19.07
101,1954,27.0,19.23
102,1967,13.0,19.15
103,1990,23.0,19.27
104,2000,10.0,18.95
105,2012,12.0,18.8
106,2020,8.0,18.74
107,2030,10.0,18.64
108,2045,15.0,18.66
109,2056,11.0,18.55
110,2067,11.0,18.36
111,2080,13.0,18.35
112,2091,11.0,18.26
113,2103,12.0,17.93
114,2116,13.0,17.93
115,2133,17.0,17.98
116,2144,11.0,17.89
117,2155,11.0,17.76
118,2164,9.0,17.56
119,2196,32.0,17.65
120,2218,22.0,17.76
121,2246,28.0,17.93
122,2260,14.0,17.97
123,2274,14.0,17.89
124,2286,12.0,17.82
125,2303,17.0,17.63
126,2314,11.0,17.6
127,2324,10.0,17.48
128,2335,11.0,17.44
129,2359,24.0,17.31
130,2375,16.0,17.06
131,2391,16.0,16.97
132,2411,20.0,16.99
133,2427,16.0,17.02
134,2445,18.0,17.09
135,2470,25.0,17.21
136,2484,14.0,17.1
137,2495,11.0,17.02
138,2508,13.0,17.03
139,2519,11.0,16.9
140,2539,20.0,16.89
141,2550,11.0,16.8
142,2560,10.0,16.77
143,2588,28.0,16.9
144,2597,9.0,16.77
145,2610,13.0,16.59
146,2693,83.0,17.04
147,2704,11.0,17.04
148,2715,11.0,16.95
149,2730,15.0,16.99
150,2745,15.0,16.78
151,2776,31.0,16.88
152,2785,9.0,16.73
153,2800,15.0,16.62
154,2844,44.0,16.89
155,2856,12.0,16.81
156,2869,13.0,16.8
157,2887,18.0,16.7
158,2902,15.0,16.54
159,2913,11.0,16.55
160,2925,12.0,16.45
161,2938,13.0,16.48
162,2949,11.0,16.2
163,2985,36.0,16.34
164,2997,12.0,16.11
165,3011,14.0,16.08
166,3023,12.0,16.05
167,3039,16.0,16.07
168,3058,19.0,16.09
169,3070,12.0,16.08
170,3081,11.0,16.02
171,3097,16.0,16.09
172,3105,8.0,16.06
173,3116,11.0,15.9
174,3128,12.0,15.88
175,3140,12.0,15.82
176,3152,12.0,15.81
177,3166,14.0,15.78
178,3178,12.0,15.8
179,3196,18.0,15.88
180,3211,15.0,15.69
181,3225,14.0,15.67
182,3246,21.0,15.79
183,3260,14.0,15.76
184,3281,21.0,15.83
185,3301,20.0,15.93
186,3310,9.0,15.84
187,3345,35.0,16.03
188,3357,12.0,16.02
189,3378,21.0,16.13
190,3393,15.0,16.18
191,3407,14.0,16.18
192,3425,18.0,16.15
193,3441,16.0,16.21
194,3457,16.0,16.22
195,3474,17.0,16.23
196,3490,16.0,16.26
197,3503,13.0,16.28
198,3536,33.0,16.45
199,3551,15.0,16.48
200,3564,13.0,16.37
201,3581,17.0,16.27
202,3620,39.0,16.53
203,3638,18.0,16.48
204,3694,56.0,16.94
205,3744,50.0,17.32
206,3754,10.0,17.34
207,3811,57.0,17.81
208,3823,12.0,17.78
209,3855,32.0,17.99
210,3900,45.0,18.33
211,3916,16.0,18.36
212,3926,10.0,18.35
213,3944,18.0,18.41
214,3991,47.0,18.75
215,4031,40.0,18.98
216,4089,58.0,19.45
217,4144,55.0,19.89
218,4174,30.0,20.1
219,4221,47.0,20.25
220,4262,41.0,20.44
221,4300,38.0,20.54
222,4328,28.0,20.68
223,4362,34.0,20.88
224,4405,43.0,21.19
225,4478,73.0,21.75
226,4554,76.0,22.4
227,4582,28.0,22.58
228,4640,58.0,23.05
229,4717,77.0,23.58
230,4779,62.0,24.04
231,4804,25.0,24.13
232,4877,73.0,24.66
233,4912,35.0,24.85
234,4953,41.0,25.08
235,5032,79.0,25.62
236,5176,144.0,26.92
237,5299,123.0,28.04
238,5411,112.0,29.03
239,5644,233.0,31.25
240,5749,105.0,32.1
241,5818,69.0,32.68
242,5977,159.0,34.17
243,6134,157.0,35.46
244,6422,288.0,38.25
245,6588,166.0,39.78
246,6794,206.0,41.01
247,6973,179.0,42.69
248,7152,179.0,44.37
249,7351,199.0,46.21
250,7517,166.0,47.72
251,7700,183.0,49.24
252,7911,211.0,51.26
253,8116,205.0,53.16
254,8338,222.0,54.94
255,8530,192.0,56.74
256,8830,300.0,59.61
257,9137,307.0,62.5
258,9430,293.0,65.28
259,9718,288.0,68.05
260,9907,189.0,69.82
261,10094,187.0,71.56
262,10481,387.0,75.32
263,10701,220.0,77.16
264,10951,250.0,79.54
265,11387,436.0,83.76
266,11686,299.0,86.63
267,11867,181.0,88.28
268,12239,372.0,91.81
269,12469,230.0,93.99
270,12708,239.0,96.27
271,12956,248.0,98.59
272,13366,410.0,102.61
273,13688,322.0,105.72
274,13946,258.0,108.18
275,14235,289.0,110.95
276,14618,383.0,114.66
277,14929,311.0,117.63
278,15275,346.0,120.97
279,15532,257.0,123.36
280,15781,249.0,125.7
281,16055,274.0,128.3
282,16306,251.0,130.6
283,16536,230.0,132.76
284,16747,211.0,134.66
285,17012,265.0,137.11
286,17355,343.0,140.45
287,17606,251.0,142.61
288,18024,418.0,146.67
289,18279,255.0,149.01
290,18705,426.0,153.12
291,18929,224.0,155.22
292,19139,210.0,157.14
293,19330,191.0,158.89
294,19563,233.0,161.06
295,19930,367.0,164.56
296,20251,321.0,167.61
297,20503,252.0,170.0
298,20823,320.0,172.87
299,21098,275.0,175.47
300,21303,205.0,177.39
301,21547,244.0,179.66
302,21798,251.0,181.78
303,22246,448.0,186.08
304,22446,200.0,187.52
305,22712,266.0,189.68
306,22950,238.0,191.96
307,23356,406.0,195.45
308,23608,252.0,197.85
309,24108,500.0,202.53
310,24383,275.0,204.83
311,24623,240.0,207.07
312,24912,289.0,209.86
313,25156,244.0,212.12
314,25377,221.0,213.86
315,25609,232.0,215.78
316,26092,483.0,220.03
317,26355,263.0,222.11
318,26600,245.0,224.26
319,26836,236.0,226.15
320,27171,335.0,229.09
321,27584,413.0,232.84
322,27827,243.0,234.99
323,28130,303.0,237.68
324,28334,204.0,239.29
325,28621,287.0,241.43
326,28849,228.0,242.95
327,29121,272.0,245.39
328,29392,271.0,247.52
329,29653,261.0,249.36
330,29927,274.0,251.48
331,30232,305.0,254.28
332,30463,231.0,255.86
333,30766,303.0,258.54
334,31000,234.0,260.47
335,31259,259.0,262.27
336,31473,214.0,262.97
337,31796,323.0,264.97
338,32076,280.0,266.65
339,32310,234.0,266.66
340,32521,211.0,267.72
341,32741,220.0,269.23
342,32967,226.0,269.9
343,33308,341.0,271.74
344,33592,284.0,271.7
345,33816,224.0,272.28
346,34086,270.0,272.92
347,34335,249.0,273.62
348,34648,313.0,274.96
349,34906,258.0,275.55
350,35206,300.0,276.89
351,35468,262.0,277.68
352,35708,240.0,277.97
353,35954,246.0,278.38
354,36185,231.0,278.47
355,36408,223.0,278.78
356,36733,325.0,279.03
357,37110,377.0,279.73
358,37346,236.0,279.16
359,37586,240.0,278.68
360,37919,333.0,280.12
361,38131,212.0,280.37
362,38391,260.0,279.1
363,38891,500.0,281.9
364,39092,201.0,281.41
365,39363,271.0,279.76
366,39660,297.0,279.74
367,39951,291.0,280.84
368,40194,243.0,279.55
369,40571,377.0,281.02
370,40885,314.0,281.77
371,41114,229.0,281.58
372,41351,237.0,279.85
373,41681,330.0,279.93
374,41913,232.0,279.67
375,42161,248.0,279.26
