episode,step,reward,mean_100
1,32,22.0,22.0
2,44,21.0,21.5
3,68,24.0,22.33
4,82,14.0,20.25
5,107,25.0,21.2
6,123,16.0,20.33
7,145,22.0,20.57
8,169,24.0,21.0
9,180,11.0,19.89
10,190,10.0,18.9
11,211,21.0,19.09
12,227,16.0,18.83
13,238,11.0,18.23
14,259,21.0,18.43
15,290,31.0,19.27
16,306,16.0,19.06
17,353,47.0,20.71
18,367,14.0,20.33
19,385,18.0,20.21
20,405,20.0,20.2
21,415,10.0,19.71
22,452,37.0,20.5
23,461,9.0,20.0
24,495,34.0,20.58
25,520,25.0,20.76
26,536,16.0,20.58
27,553,17.0,20.44
28,575,22.0,20.5
29,592,17.0,20.38
30,603,11.0,20.07
31,615,12.0,19.81
32,630,15.0,19.66
33,649,19.0,19.64
34,659,10.0,19.35
35,671,12.0,19.14
36,683,12.0,18.94
37,714,31.0,19.27
38,731,17.0,19.21
39,750,19.0,19.21
40,767,17.0,19.15
41,784,17.0,19.1
42,795,11.0,18.9
43,829,34.0,19.26
44,847,18.0,19.23
45,859,12.0,19.07
46,874,15.0,18.98
47,907,33.0,19.28
48,946,39.0,19.69
49,965,19.0,19.67
50,986,21.0,19.7
51,1000,14.0,19.59
52,1013,13.0,19.46
53,1042,29.0,19.64
54,1059,17.0,19.59
55,1070,11.0,19.44
56,1082,12.0,19.3
57,1094,12.0,19.18
58,1112,18.0,19.16
59,1138,26.0,19.27
60,1154,16.0,19.22
61,1168,14.0,19.13
62,1181,13.0,19.03
63,1199,18.0,19.02
64,1217,18.0,19.0
65,1232,15.0,18.94
66,1247,15.0,18.88
67,1257,10.0,18.75
68,1275,18.0,18.74
69,1311,36.0,18.99
70,1324,13.0,18.9
71,1333,9.0,18.76
72,1349,16.0,18.72
73,1366,17.0,18.7
74,1396,30.0,18.85
75,1409,13.0,18.77
76,1423,14.0,18.71
77,1436,13.0,18.64
78,1455,19.0,18.64
79,1465,10.0,18.53
80,1475,10.0,18.43
81,1488,13.0,18.36
82,1506,18.0,18.35
83,1523,17.0,18.34
84,1548,25.0,18.42
85,1568,20.0,18.44
86,1580,12.0,18.36
87,1599,19.0,18.37
88,1612,13.0,18.31
89,1628,16.0,18.28
90,1644,16.0,18.26
91,1657,13.0,18.2
92,1672,15.0,18.16
93,1692,20.0,18.18
94,1703,11.0,18.11
95,1715,12.0,18.04
96,1726,11.0,17.97
97,1744,18.0,17.97
98,1758,14.0,17.93
99,1771,13.0,17.88
100,1800,29.0,17.99
101,1812,12.0,17.89
102,1822,10.0,17.78
103,1840,18.0,17.72
104,1853,13.0,17.71
