episode,step,reward,mean_100
1,32,14.0,14.0
2,46,31.0,22.5
3,63,17.0,20.67
4,83,20.0,20.5
5,106,23.0,21.0
6,119,13.0,19.67
7,138,19.0,19.57
8,149,11.0,18.5
9,168,19.0,18.56
10,188,20.0,18.7
11,204,16.0,18.45
12,222,18.0,18.42
13,234,12.0,17.92
14,247,13.0,17.57
15,263,16.0,17.47
16,276,13.0,17.19
17,295,19.0,17.29
18,343,48.0,19.0
19,360,17.0,18.89
20,372,12.0,18.55
21,393,21.0,18.67
22,414,21.0,18.77
23,429,15.0,18.61
24,446,17.0,18.54
25,480,34.0,19.16
26,493,13.0,18.92
27,503,10.0,18.59
28,555,52.0,19.79
29,575,20.0,19.79
30,585,10.0,19.47
31,595,10.0,19.16
32,611,16.0,19.06
33,675,64.0,20.42
34,686,11.0,20.15
35,698,12.0,19.91
36,736,38.0,20.42
37,753,17.0,20.32
38,765,12.0,20.11
39,813,48.0,20.82
40,838,25.0,20.93
41,849,11.0,20.68
42,878,29.0,20.88
43,895,17.0,20.79
44,934,39.0,21.2
45,957,23.0,21.24
46,976,19.0,21.2
47,1001,25.0,21.28
48,1018,17.0,21.19
49,1033,15.0,21.06
50,1044,11.0,20.86
51,1068,24.0,20.92
52,1082,14.0,20.79
53,1127,45.0,21.25
54,1146,19.0,21.2
55,1159,13.0,21.05
56,1182,23.0,21.09
57,1205,23.0,21.12
58,1233,28.0,21.24
59,1284,51.0,21.75
60,1297,13.0,21.6
61,1322,25.0,21.66
62,1348,26.0,21.73
63,1360,12.0,21.57
64,1379,19.0,21.53
65,1392,13.0,21.4
66,1407,15.0,21.3
67,1433,26.0,21.37
68,1448,15.0,21.28
69,1465,17.0,21.22
70,1478,13.0,21.1
71,1488,10.0,20.94
72,1502,14.0,20.85
73,1538,36.0,21.05
74,1548,10.0,20.91
75,1568,20.0,20.89
76,1585,17.0,20.84
77,1600,15.0,20.77
78,1627,27.0,20.85
79,1636,9.0,20.7
80,1648,12.0,20.59
81,1668,20.0,20.58
82,1679,11.0,20.46
83,1695,16.0,20.41
84,1705,10.0,20.29
85,1727,22.0,20.31
86,1741,14.0,20.23
87,1751,10.0,20.11
88,1780,29.0,20.22
89,1792,12.0,20.12
90,1803,11.0,20.02
91,1821,18.0,20.0
92,1833,12.0,19.91
93,1855,22.0,19.94
94,1871,16.0,19.89
95,1882,11.0,19.8
96,1891,9.0,19.69
97,1909,18.0,19.67
98,1925,16.0,19.63
99,1935,10.0,19.54
100,1952,17.0,19.51
101,1961,9.0,19.46
102,1973,12.0,19.27
103,1986,13.0,19.23
104,1997,11.0,19.14
105,2012,15.0,19.06
106,2028,16.0,19.09
107,2045,17.0,19.07
108,2058,13.0,19.09
109,2069,11.0,19.01
110,2080,11.0,18.92
111,2091,11.0,18.87
112,2113,22.0,18.91
113,2124,11.0,18.9
114,2139,15.0,18.92
115,2157,18.0,18.94
116,2170,13.0,18.94
117,2182,12.0,18.87
118,2196,14.0,18.53
119,2209,13.0,18.49
120,2221,12.0,18.49
121,2236,15.0,18.43
122,2252,16.0,18.38
123,2285,33.0,18.56
124,2299,14.0,18.53
125,2310,11.0,18.3
126,2332,22.0,18.39
127,2348,16.0,18.45
128,2360,12.0,18.05
129,2387,27.0,18.12
130,2400,13.0,18.15
131,2416,16.0,18.21
132,2459,43.0,18.48
133,2471,12.0,17.96
134,2503,32.0,18.17
135,2517,14.0,18.19
136,2530,13.0,17.94
137,2545,15.0,17.92
138,2557,12.0,17.92
139,2576,19.0,17.63
140,2590,14.0,17.52
141,2614,24.0,17.65
142,2629,15.0,17.51
143,2642,13.0,17.47
144,2656,14.0,17.22
145,2670,14.0,17.13
146,2697,27.0,17.21
147,2708,11.0,17.07
148,2724,16.0,17.06
149,2745,21.0,17.12
150,2765,20.0,17.21
151,2786,21.0,17.18
152,2796,10.0,17.14
153,2858,62.0,17.31
154,2868,10.0,17.22
155,2889,21.0,17.3
156,2906,17.0,17.24
157,2918,12.0,17.13
158,2934,16.0,17.01
159,2955,21.0,16.71
160,2974,19.0,16.77
161,3009,35.0,16.87
162,3025,16.0,16.77
163,3039,14.0,16.79
164,3057,18.0,16.78
165,3070,13.0,16.78
166,3083,13.0,16.76
167,3100,17.0,16.67
168,3114,14.0,16.66
169,3131,17.0,16.66
170,3145,14.0,16.67
171,3156,11.0,16.68
172,3169,13.0,16.67
173,3196,27.0,16.58
174,3208,12.0,16.6
175,3230,22.0,16.62
176,3253,23.0,16.68
177,3269,16.0,16.69
178,3292,23.0,16.65
179,3319,27.0,16.83
180,3341,22.0,16.93
181,3362,21.0,16.94
182,3396,34.0,17.17
183,3458,62.0,17.63
184,3475,17.0,17.7
185,3571,96.0,18.44
186,3674,103.0,19.33
187,3776,102.0,20.25
188,3835,59.0,20.55
189,3954,119.0,21.62
190,4125,171.0,23.22
191,4362,237.0,25.41
192,4563,201.0,27.3
193,4804,241.0,29.49
194,5014,210.0,31.43
195,5279,265.0,33.97
196,5447,168.0,35.56
197,5655,208.0,37.46
198,5872,217.0,39.47
199,6049,177.0,41.14
200,6266,217.0,43.14
201,6440,174.0,44.79
202,6617,177.0,46.44
203,6829,212.0,48.43
204,7110,281.0,51.13
205,7296,186.0,52.84
206,7670,374.0,56.42
207,7915,245.0,58.7
208,8109,194.0,60.51
209,8339,230.0,62.7
210,8591,252.0,65.11
211,8812,221.0,67.21
212,9147,335.0,70.34
213,9342,195.0,72.18
214,9598,256.0,74.59
215,9827,229.0,76.7
216,10172,345.0,80.02
217,10393,221.0,82.11
218,10733,340.0,85.37
219,10945,212.0,87.36
220,11129,184.0,89.08
221,11442,313.0,92.06
222,11683,241.0,94.31
223,11913,230.0,96.28
224,12141,228.0,98.42
225,12389,248.0,100.79
226,12606,217.0,102.74
227,12812,206.0,104.64
228,13022,210.0,106.62
229,13372,350.0,109.85
230,13594,222.0,111.94
231,13808,214.0,113.92
232,14034,226.0,115.75
233,14241,207.0,117.7
234,14495,254.0,119.92
235,14696,201.0,121.79
236,14933,237.0,124.03
237,15180,247.0,126.35
238,15386,206.0,128.29
239,15674,288.0,130.98
240,15898,224.0,133.08
241,16209,311.0,135.95
242,16470,261.0,138.41
243,16693,223.0,140.51
244,16930,237.0,142.74
245,17125,195.0,144.55
246,17501,376.0,148.04
247,17704,203.0,149.96
248,17964,260.0,152.4
249,18233,269.0,154.88
250,18664,431.0,158.99
251,18929,265.0,161.43
252,19149,220.0,163.53
253,19350,201.0,164.92
254,19713,363.0,168.45
255,19981,268.0,170.92
256,20243,262.0,173.37
257,20490,247.0,175.72
258,20690,200.0,177.56
259,21076,386.0,181.21
260,21311,235.0,183.37
261,21635,324.0,186.26
262,21962,327.0,189.37
263,22212,250.0,191.73
264,22456,244.0,193.99
265,22672,216.0,196.02
266,22955,283.0,198.72
267,23282,327.0,201.82
268,23494,212.0,203.8
269,23739,245.0,206.08
270,24095,356.0,209.5
271,24359,264.0,212.03
272,24733,374.0,215.64
273,25015,282.0,218.19
274,25372,357.0,221.64
275,25644,272.0,224.14
276,25868,224.0,226.15
277,26148,280.0,228.79
278,26347,199.0,230.55
279,26539,192.0,232.2
280,26833,294.0,234.92
281,27045,212.0,236.83
282,27286,241.0,238.9
283,27488,202.0,240.3
284,27711,223.0,242.36
285,27933,222.0,243.62
286,28146,213.0,244.72
287,28338,192.0,245.62
288,28608,270.0,247.73
289,28792,184.0,248.38
290,28988,196.0,248.63
291,29242,254.0,248.8
292,29436,194.0,248.73
293,29740,304.0,249.36
294,30031,291.0,250.17
295,30273,242.0,249.94
296,30490,217.0,250.43
297,30746,256.0,250.91
298,30954,208.0,250.82
299,31154,200.0,251.05
300,31451,297.0,251.85
301,31656,205.0,252.16
302,31861,205.0,252.44
303,32116,255.0,252.87
304,32394,278.0,252.84
305,32619,225.0,253.23
306,32838,219.0,251.68
307,33120,282.0,252.05
308,33495,375.0,253.86
309,33751,256.0,254.12
310,33975,224.0,253.84
311,34309,334.0,254.97
312,34526,217.0,253.79
313,34842,316.0,255.0
314,35218,376.0,256.2
315,35443,225.0,256.16
316,35660,217.0,254.88
317,35904,244.0,255.11
318,36196,292.0,254.63
319,36493,297.0,255.48
320,36690,197.0,255.61
321,36914,224.0,254.72
322,37187,273.0,255.04
323,37377,190.0,254.64
324,37574,197.0,254.33
325,37762,188.0,253.73
326,37973,211.0,253.67
327,38178,205.0,253.66
328,38393,215.0,253.71
329,38640,247.0,252.68
330,38887,247.0,252.93
331,39098,211.0,252.9
332,39363,265.0,253.29
333,39591,228.0,253.5
334,39798,207.0,253.03
335,40066,268.0,253.7
336,40349,283.0,254.16
337,40571,222.0,253.91
338,40804,233.0,254.18
339,41032,228.0,253.58
340,41251,219.0,253.53
341,41432,181.0,252.23
342,41639,207.0,251.69
343,41866,227.0,251.73
344,42070,204.0,251.4
345,42290,220.0,251.65
346,42541,251.0,250.4
347,42756,215.0,250.52
348,43149,393.0,251.85
349,43424,275.0,251.91
350,43753,329.0,250.89
351,44070,317.0,251.41
352,44326,256.0,251.77
353,44544,218.0,251.94
354,44740,196.0,250.27
355,44998,258.0,250.17
356,45222,224.0,249.79
357,45439,217.0,249.49
358,45676,237.0,249.86
359,45902,226.0,248.26
360,46173,271.0,248.62
361,46362,189.0,247.27
362,46698,336.0,247.36
363,46919,221.0,247.07
364,47121,202.0,246.65
365,47312,191.0,246.4
366,47505,193.0,245.5
367,47717,212.0,244.35
368,47926,209.0,244.32
369,48253,327.0,245.14
370,48502,249.0,244.07
371,48730,228.0,243.71
372,48929,199.0,241.96
373,49143,214.0,241.28
374,49508,365.0,241.36
375,49756,248.0,241.12
376,49994,238.0,241.26
377,50243,249.0,240.95
378,50531,288.0,241.84
379,50833,302.0,242.94
380,51023,190.0,241.9
381,51237,214.0,241.92
382,51451,214.0,241.65
383,51679,228.0,241.91
384,51926,247.0,242.15
385,52219,293.0,242.86
386,52436,217.0,242.9
387,52752,316.0,244.14
388,53009,257.0,244.01
389,53320,311.0,245.28
390,53578,258.0,245.9
391,53791,213.0,245.49
392,54002,211.0,245.66
393,54241,239.0,245.01
394,54455,214.0,244.24
395,54696,241.0,244.23
396,54882,186.0,243.92
397,55107,225.0,243.61
398,55364,257.0,244.1
399,55559,195.0,244.05
400,55865,306.0,244.14
401,56113,248.0,244.57
402,56364,251.0,245.03
403,56620,256.0,245.04
404,56840,220.0,244.46
405,57084,244.0,244.65
406,57282,198.0,244.44
407,57511,229.0,243.91
408,57773,262.0,242.78
409,58069,296.0,243.18
410,58347,278.0,243.72
411,58562,215.0,242.53
412,58785,223.0,242.59
413,59036,251.0,241.94
414,59302,266.0,240.84
415,59514,212.0,240.71
416,59719,205.0,240.59
417,59905,186.0,240.01
418,60119,214.0,239.23
419,60388,269.0,238.95
420,60610,222.0,239.2
421,60824,214.0,239.1
422,61058,234.0,238.71
423,61383,325.0,240.06
424,61596,213.0,240.22
425,61846,250.0,240.84
426,62046,200.0,240.73
427,62390,344.0,242.12
428,62584,194.0,241.91
429,62823,239.0,241.83
430,63011,188.0,241.24
431,63235,224.0,241.37
432,63440,205.0,240.77
433,63640,200.0,240.49
434,63932,292.0,241.34
435,64171,239.0,241.05
436,64381,210.0,240.32
437,64733,352.0,241.62
438,64958,225.0,241.54
439,65286,328.0,242.54
440,65595,309.0,243.44
441,65804,209.0,243.72
442,66022,218.0,243.83
443,66278,256.0,244.12
444,66473,195.0,244.03
445,66685,212.0,243.95
446,66890,205.0,243.49
447,67079,189.0,243.23
448,67294,215.0,241.45
449,67500,206.0,240.76
450,67691,191.0,239.38
451,67907,216.0,238.37
452,68186,279.0,238.6
453,68420,234.0,238.76
454,68661,241.0,239.21
455,68913,252.0,239.15
456,69204,291.0,239.82
457,69394,190.0,239.55
458,69671,277.0,239.95
459,69866,195.0,239.64
460,70121,255.0,239.48
461,70391,270.0,240.29
462,70581,190.0,238.83
463,70808,227.0,238.89
464,71035,227.0,239.14
465,71271,236.0,239.59
466,71559,288.0,240.54
467,71813,254.0,240.96
468,72049,236.0,241.23
469,72332,283.0,240.79
470,72550,218.0,240.48
471,72906,356.0,241.76
472,73167,261.0,242.38
473,73411,244.0,242.68
474,73727,316.0,242.19
475,73919,192.0,241.63
476,74223,304.0,242.29
477,74506,283.0,242.63
478,74789,283.0,242.58
479,75047,258.0,242.14
480,75272,225.0,242.49
481,75498,226.0,242.61
482,75731,233.0,242.8
483,76008,277.0,243.29
484,76351,343.0,244.25
485,76681,330.0,244.62
