episode,step,reward,mean_100
1,14,14.0,14.0
2,41,27.0,20.5
3,60,19.0,20.0
4,94,34.0,23.5
5,119,25.0,23.8
6,138,19.0,23.0
7,159,21.0,22.71
8,180,21.0,22.5
9,197,17.0,21.89
10,210,13.0,21.0
11,231,21.0,21.0
12,261,30.0,21.75
13,284,23.0,21.85
14,320,36.0,22.86
15,333,13.0,22.2
16,349,16.0,21.81
17,361,12.0,21.24
18,407,46.0,22.61
19,427,20.0,22.47
20,441,14.0,22.05
21,467,26.0,22.24
22,495,28.0,22.5
23,514,19.0,22.35
24,530,16.0,22.08
25,553,23.0,22.12
26,571,18.0,21.96
27,592,21.0,21.93
28,636,44.0,22.71
29,654,18.0,22.55
30,666,12.0,22.2
31,707,41.0,22.81
32,732,25.0,22.88
33,751,19.0,22.76
34,813,62.0,23.91
35,827,14.0,23.63
36,866,39.0,24.06
37,876,10.0,23.68
38,893,17.0,23.5
39,911,18.0,23.36
40,921,10.0,23.02
41,942,21.0,22.98
42,958,16.0,22.81
43,968,10.0,22.51
44,994,26.0,22.59
45,1007,13.0,22.38
46,1017,10.0,22.11
47,1065,48.0,22.66
48,1132,67.0,23.58
49,1181,49.0,24.1
50,1197,16.0,23.94
51,1255,58.0,24.61
52,1282,27.0,24.65
53,1320,38.0,24.91
54,1357,37.0,25.13
55,1436,79.0,26.11
56,1475,39.0,26.34
57,1498,23.0,26.28
58,1508,10.0,26.0
59,1522,14.0,25.8
60,1538,16.0,25.63
61,1558,20.0,25.54
62,1591,33.0,25.66
63,1617,26.0,25.67
64,1628,11.0,25.44
65,1659,31.0,25.52
66,1673,14.0,25.35
67,1712,39.0,25.55
68,1733,21.0,25.49
69,1765,32.0,25.58
70,1822,57.0,26.03
71,1843,21.0,25.96
72,1861,18.0,25.85
73,1879,18.0,25.74
74,1907,28.0,25.77
75,1932,25.0,25.76
76,1957,25.0,25.75
77,1973,16.0,25.62
78,1996,23.0,25.59
79,2010,14.0,25.44
80,2046,36.0,25.57
81,2141,95.0,26.43
82,2174,33.0,26.51
83,2192,18.0,26.41
84,2229,37.0,26.54
85,2247,18.0,26.44
86,2275,28.0,26.45
87,2300,25.0,26.44
88,2338,38.0,26.57
89,2363,25.0,26.55
90,2407,44.0,26.74
91,2425,18.0,26.65
92,2437,12.0,26.49
93,2469,32.0,26.55
94,2485,16.0,26.44
95,2506,21.0,26.38
96,2522,16.0,26.27
97,2551,29.0,26.3
98,2573,22.0,26.26
99,2608,35.0,26.34
100,2620,12.0,26.2
101,2656,36.0,26.42
102,2709,53.0,26.68
103,2742,33.0,26.82
104,2773,31.0,26.79
105,2804,31.0,26.85
106,2815,11.0,26.77
107,2836,21.0,26.77
108,2862,26.0,26.82
109,2893,31.0,26.96
110,2924,31.0,27.14
111,2970,46.0,27.39
112,3060,90.0,27.99
113,3083,23.0,27.99
114,3151,68.0,28.31
115,3202,51.0,28.69
116,3216,14.0,28.67
117,3245,29.0,28.84
118,3256,11.0,28.49
119,3273,17.0,28.46
120,3298,25.0,28.57
121,3313,15.0,28.46
122,3445,132.0,29.5
123,3467,22.0,29.53
124,3480,13.0,29.5
125,3494,14.0,29.41
126,3522,28.0,29.51
127,3541,19.0,29.49
128,3572,31.0,29.36
129,3605,33.0,29.51
130,3633,28.0,29.67
131,3659,26.0,29.52
132,3677,18.0,29.45
133,3702,25.0,29.51
134,3724,22.0,29.11
135,3762,38.0,29.35
136,3812,50.0,29.46
137,3876,64.0,30.0
138,3951,75.0,30.58
139,3982,31.0,30.71
140,3996,14.0,30.75
141,4033,37.0,30.91
142,4053,20.0,30.95
143,4070,17.0,31.02
144,4087,17.0,30.93
145,4146,59.0,31.39
146,4214,68.0,31.97
147,4246,32.0,31.81
148,4284,38.0,31.52
149,4300,16.0,31.19
150,4348,48.0,31.51
151,4359,11.0,31.04
152,4377,18.0,30.95
153,4407,30.0,30.87
