episode,step,reward,mean_100
1,12,12.0,12.0
2,30,18.0,15.0
3,79,49.0,26.33
4,90,11.0,22.5
5,135,45.0,27.0
6,150,15.0,25.0
7,187,37.0,26.71
8,205,18.0,25.62
9,244,39.0,27.11
10,283,39.0,28.3
11,296,13.0,26.91
12,323,27.0,26.92
13,340,17.0,26.15
14,352,12.0,25.14
15,375,23.0,25.0
16,390,15.0,24.38
17,401,11.0,23.59
18,419,18.0,23.28
19,449,30.0,23.63
20,472,23.0,23.6
21,483,11.0,23.0
22,503,20.0,22.86
23,530,27.0,23.04
24,561,31.0,23.38
25,579,18.0,23.16
26,605,26.0,23.27
27,615,10.0,22.78
28,632,17.0,22.57
29,651,19.0,22.45
30,664,13.0,22.13
31,684,20.0,22.06
32,721,37.0,22.53
33,736,15.0,22.3
34,748,12.0,22.0
35,772,24.0,22.06
36,788,16.0,21.89
37,807,19.0,21.81
38,835,28.0,21.97
39,849,14.0,21.77
40,861,12.0,21.52
41,893,32.0,21.78
42,905,12.0,21.55
43,919,14.0,21.37
44,957,38.0,21.75
45,974,17.0,21.64
46,989,15.0,21.5
47,1026,37.0,21.83
48,1044,18.0,21.75
49,1059,15.0,21.61
50,1084,25.0,21.68
51,1100,16.0,21.57
52,1146,46.0,22.04
53,1191,45.0,22.47
54,1207,16.0,22.35
55,1222,15.0,22.22
56,1240,18.0,22.14
57,1262,22.0,22.14
58,1275,13.0,21.98
59,1326,51.0,22.47
60,1372,46.0,22.87
61,1394,22.0,22.85
62,1404,10.0,22.65
63,1433,29.0,22.75
64,1458,25.0,22.78
65,1475,17.0,22.69
66,1525,50.0,23.11
67,1554,29.0,23.19
68,1578,24.0,23.21
69,1589,11.0,23.03
70,1610,21.0,23.0
71,1665,55.0,23.45
72,1686,21.0,23.42
73,1704,18.0,23.34
74,1716,12.0,23.19
75,1740,24.0,23.2
76,1768,28.0,23.26
77,1798,30.0,23.35
78,1821,23.0,23.35
79,1844,23.0,23.34
80,1862,18.0,23.27
81,1887,25.0,23.3
82,1900,13.0,23.17
83,1912,12.0,23.04
84,1925,13.0,22.92
85,1990,65.0,23.41
86,2020,30.0,23.49
87,2032,12.0,23.36
88,2050,18.0,23.3
89,2090,40.0,23.48
90,2104,14.0,23.38
91,2135,31.0,23.46
92,2166,31.0,23.54
93,2196,30.0,23.61
94,2230,34.0,23.72
95,2244,14.0,23.62
96,2269,25.0,23.64
97,2315,46.0,23.87
98,2346,31.0,23.94
99,2356,10.0,23.8
100,2388,32.0,23.88
101,2422,34.0,24.1
102,2439,17.0,24.09
103,2464,25.0,23.85
104,2493,29.0,24.03
105,2518,25.0,23.83
106,2532,14.0,23.82
107,2543,11.0,23.56
108,2583,40.0,23.78
109,2644,61.0,24.0
110,2687,43.0,24.04
111,2726,39.0,24.3
112,2749,23.0,24.26
113,2763,14.0,24.23
114,2778,15.0,24.26
115,2833,55.0,24.58
116,2880,47.0,24.9
117,2892,12.0,24.91
118,2905,13.0,24.86
119,2918,13.0,24.69
120,2947,29.0,24.75
121,2972,25.0,24.89
122,3017,45.0,25.14
123,3031,14.0,25.01
124,3048,17.0,24.87
125,3085,37.0,25.06
126,3103,18.0,24.98
127,3120,17.0,25.05
128,3142,22.0,25.1
129,3194,52.0,25.43
130,3205,11.0,25.41
131,3226,21.0,25.42
132,3237,11.0,25.16
133,3249,12.0,25.13
134,3322,73.0,25.74
135,3338,16.0,25.66
136,3354,16.0,25.66
137,3372,18.0,25.65
138,3397,25.0,25.62
139,3488,91.0,26.39
140,3549,61.0,26.88
141,3586,37.0,26.93
142,3627,41.0,27.22
143,3666,39.0,27.47
144,3717,51.0,27.6
145,3728,11.0,27.54
146,3749,21.0,27.6
147,3768,19.0,27.42
148,3791,23.0,27.47
149,3810,19.0,27.51
150,3858,48.0,27.74
151,3879,21.0,27.79
152,3960,81.0,28.14
153,3993,33.0,28.02
154,4013,20.0,28.06
155,4024,11.0,28.02
156,4045,21.0,28.05
157,4078,33.0,28.16
158,4139,61.0,28.64
159,4210,71.0,28.84
160,4241,31.0,28.69
161,4265,24.0,28.71
162,4291,26.0,28.87
163,4329,38.0,28.96
164,4351,22.0,28.93
165,4371,20.0,28.96
166,4428,57.0,29.03
167,4453,25.0,28.99
168,4477,24.0,28.99
169,4492,15.0,29.03
170,4516,24.0,29.06
171,4544,28.0,28.79
172,4605,61.0,29.19
173,4627,22.0,29.23
174,4664,37.0,29.48
175,4694,30.0,29.54
176,4727,33.0,29.59
177,4748,21.0,29.5
178,4775,27.0,29.54
179,4786,11.0,29.42
180,4814,28.0,29.52
181,4830,16.0,29.43
182,4892,62.0,29.92
183,4919,27.0,30.07
184,4953,34.0,30.28
185,4971,18.0,29.81
186,5011,40.0,29.91
187,5055,44.0,30.23
188,5085,30.0,30.35
189,5112,27.0,30.22
190,5157,45.0,30.53
191,5177,20.0,30.42
192,5217,40.0,30.51
193,5245,28.0,30.49
194,5271,26.0,30.41
195,5286,15.0,30.42
196,5312,26.0,30.43
197,5341,29.0,30.26
198,5390,49.0,30.44
199,5431,41.0,30.75
200,5449,18.0,30.61
201,5479,30.0,30.57
202,5499,20.0,30.6
203,5555,56.0,30.91
204,5585,30.0,30.92
205,5617,32.0,30.99
206,5634,17.0,31.02
207,5658,24.0,31.15
208,5669,11.0,30.86
209,5771,102.0,31.27
210,5790,19.0,31.03
211,5844,54.0,31.18
212,5935,91.0,31.86
213,5978,43.0,32.15
214,6006,28.0,32.28
215,6057,51.0,32.24
216,6097,40.0,32.17
217,6136,39.0,32.44
218,6153,17.0,32.48
219,6187,34.0,32.69
220,6252,65.0,33.05
221,6325,73.0,33.53
222,6412,87.0,33.95
223,6431,19.0,34.0
224,6476,45.0,34.28
225,6538,62.0,34.53
226,6593,55.0,34.9
227,6623,30.0,35.03
228,6660,37.0,35.18
229,6694,34.0,35.0
230,6732,38.0,35.27
231,6748,16.0,35.22
232,6775,27.0,35.38
233,6805,30.0,35.56
234,6843,38.0,35.21
235,6891,48.0,35.53
236,6904,13.0,35.5
237,6930,26.0,35.58
238,6943,13.0,35.46
239,6957,14.0,34.69
240,7013,56.0,34.64
241,7047,34.0,34.61
242,7102,55.0,34.75
243,7115,13.0,34.49
244,7170,55.0,34.53
245,7186,16.0,34.58
246,7203,17.0,34.54
247,7316,113.0,35.48
248,7341,25.0,35.5
249,7374,33.0,35.64
250,7391,17.0,35.33
251,7410,19.0,35.31
252,7436,26.0,34.76
253,7452,16.0,34.59
254,7475,23.0,34.62
255,7505,30.0,34.81
256,7516,11.0,34.71
257,7611,95.0,35.33
258,7631,20.0,34.92
259,7674,43.0,34.64
260,7698,24.0,34.57
261,7719,21.0,34.54
262,7742,23.0,34.51
263,7763,21.0,34.34
264,7838,75.0,34.87
265,7885,47.0,35.14
266,7933,48.0,35.05
267,7975,42.0,35.22
268,8007,32.0,35.3
269,8033,26.0,35.41
270,8083,50.0,35.67
271,8123,40.0,35.79
272,8143,20.0,35.38
273,8220,77.0,35.93
274,8234,14.0,35.7
275,8255,21.0,35.61
276,8285,30.0,35.58
277,8351,66.0,36.03
278,8377,26.0,36.02
279,8408,31.0,36.22
280,8436,28.0,36.22
281,8453,17.0,36.23
282,8477,24.0,35.85
283,8511,34.0,35.92
284,8554,43.0,36.01
285,8584,30.0,36.13
286,8603,19.0,35.92
287,8659,56.0,36.04
288,8676,17.0,35.91
289,8706,30.0,35.94
290,8737,31.0,35.8
291,8820,83.0,36.43
292,8893,73.0,36.76
293,8972,79.0,37.27
294,8986,14.0,37.15
295,9008,22.0,37.22
296,9055,47.0,37.43
297,9124,69.0,37.83
298,9181,57.0,37.91
299,9229,48.0,37.98
300,9282,53.0,38.33
301,9318,36.0,38.39
302,9363,45.0,38.64
303,9384,21.0,38.29
304,9452,68.0,38.67
305,9488,36.0,38.71
306,9527,39.0,38.93
307,9546,19.0,38.88
308,9581,35.0,39.12
309,9646,65.0,38.75
310,9698,52.0,39.08
311,9714,16.0,38.7
312,9747,33.0,38.12
313,9769,22.0,37.91
314,9842,73.0,38.36
315,9872,30.0,38.15
316,9919,47.0,38.22
317,9954,35.0,38.18
318,10023,69.0,38.7
319,10046,23.0,38.59
320,10108,62.0,38.56
321,10134,26.0,38.09
322,10175,41.0,37.63
323,10218,43.0,37.87
324,10279,61.0,38.03
325,10302,23.0,37.64
326,10359,57.0,37.66
327,10387,28.0,37.64
328,10445,58.0,37.85
329,10491,46.0,37.97
330,10501,10.0,37.69
331,10528,27.0,37.8
332,10558,30.0,37.83
333,10673,115.0,38.68
334,10706,33.0,38.63
335,10754,48.0,38.63
336,10776,22.0,38.72
337,10796,20.0,38.66
338,10850,54.0,39.07
339,10911,61.0,39.54
340,10954,43.0,39.41
341,11012,58.0,39.65
342,11038,26.0,39.36
343,11095,57.0,39.8
344,11119,24.0,39.49
345,11150,31.0,39.64
346,11174,24.0,39.71
347,11220,46.0,39.04
348,11240,20.0,38.99
349,11296,56.0,39.22
350,11306,10.0,39.15
351,11326,20.0,39.16
352,11345,19.0,39.09
353,11368,23.0,39.16
354,11407,39.0,39.32
355,11471,64.0,39.66
356,11492,21.0,39.76
357,11526,34.0,39.15
358,11540,14.0,39.09
359,11575,35.0,39.01
360,11670,95.0,39.72
361,11697,27.0,39.78
362,11757,60.0,40.15
363,11815,58.0,40.52
364,11838,23.0,40.0
365,11874,36.0,39.89
366,11920,46.0,39.87
367,11959,39.0,39.84
368,11986,27.0,39.79
369,12031,45.0,39.98
370,12152,121.0,40.69
371,12196,44.0,40.73
372,12291,95.0,41.48
373,12362,71.0,41.42
374,12411,49.0,41.77
375,12469,58.0,42.14
376,12558,89.0,42.73
377,12598,40.0,42.47
378,12628,30.0,42.51
379,12666,38.0,42.58
380,12714,48.0,42.78
381,12783,69.0,43.3
382,12804,21.0,43.27
383,12876,72.0,43.65
384,12901,25.0,43.47
385,12928,27.0,43.44
386,13107,179.0,45.04
387,13201,94.0,45.42
388,13235,34.0,45.59
389,13291,56.0,45.85
390,13319,28.0,45.82
391,13376,57.0,45.56
392,13422,46.0,45.29
393,13445,23.0,44.73
394,13482,37.0,44.96
395,13527,45.0,45.19
396,13586,59.0,45.31
397,13636,50.0,45.12
398,13695,59.0,45.14
399,13736,41.0,45.07
400,13765,29.0,44.83
401,13856,91.0,45.38
402,13959,103.0,45.96
403,14011,52.0,46.27
404,14062,51.0,46.1
405,14083,21.0,45.95
406,14138,55.0,46.11
407,14194,56.0,46.48
408,14223,29.0,46.42
409,14362,139.0,47.16
410,14383,21.0,46.85
411,14461,78.0,47.47
412,14519,58.0,47.72
413,14571,52.0,48.02
414,14645,74.0,48.03
415,14692,47.0,48.2
416,14709,17.0,47.9
417,14737,28.0,47.83
418,14769,32.0,47.46
419,14785,16.0,47.39
420,14864,79.0,47.56
421,14885,21.0,47.51
422,14964,79.0,47.89
423,15065,101.0,48.47
424,15117,52.0,48.38
425,15141,24.0,48.39
426,15156,15.0,47.97
427,15198,42.0,48.11
428,15395,197.0,49.5
429,15446,51.0,49.55
430,15505,59.0,50.04
431,15525,20.0,49.97
432,15591,66.0,50.33
433,15622,31.0,49.49
434,15671,49.0,49.65
435,15692,21.0,49.38
436,15787,95.0,50.11
437,15872,85.0,50.76
438,15906,34.0,50.56
439,15935,29.0,50.24
440,16030,95.0,50.76
441,16058,28.0,50.46
442,16125,67.0,50.87
443,16242,117.0,51.47
444,16257,15.0,51.38
445,16281,24.0,51.31
446,16336,55.0,51.62
447,16351,15.0,51.31
448,16416,65.0,51.76
449,16428,12.0,51.32
450,16521,93.0,52.15
451,16612,91.0,52.86
452,16635,23.0,52.9
453,16660,25.0,52.92
454,16747,87.0,53.4
455,16892,145.0,54.21
456,16916,24.0,54.24
457,16936,20.0,54.1
458,16988,52.0,54.48
459,17034,46.0,54.59
460,17074,40.0,54.04
461,17116,42.0,54.19
462,17180,64.0,54.23
463,17248,68.0,54.33
464,17331,83.0,54.93
465,17380,49.0,55.06
466,17494,114.0,55.74
467,17606,112.0,56.47
468,17674,68.0,56.88
469,17731,57.0,57.0
470,17779,48.0,56.27
471,17819,40.0,56.23
472,17869,50.0,55.78
473,17937,68.0,55.75
474,17990,53.0,55.79
475,18069,79.0,56.0
476,18123,54.0,55.65
477,18161,38.0,55.63
478,18221,60.0,55.93
479,18239,18.0,55.73
480,18258,19.0,55.44
481,18339,81.0,55.56
482,18494,155.0,56.9
483,18567,73.0,56.91
484,18603,36.0,57.02
485,18677,74.0,57.49
486,18707,30.0,56.0
487,18743,36.0,55.42
488,18772,29.0,55.37
489,18795,23.0,55.04
490,18860,65.0,55.41
491,18891,31.0,55.15
492,19048,157.0,56.26
493,19104,56.0,56.59
494,19149,45.0,56.67
495,19244,95.0,57.17
496,19280,36.0,56.94
497,19319,39.0,56.83
498,19343,24.0,56.48
499,19378,35.0,56.42
500,19471,93.0,57.06
501,19627,156.0,57.71
502,19690,63.0,57.31
503,19744,54.0,57.33
504,19782,38.0,57.2
505,19900,118.0,58.17
506,20003,103.0,58.65
507,20120,117.0,59.26
508,20172,52.0,59.49
509,20239,67.0,58.77
510,20315,76.0,59.32
511,20400,85.0,59.39
512,20470,70.0,59.51
513,20558,88.0,59.87
514,20617,59.0,59.72
515,20687,70.0,59.95
516,20756,69.0,60.47
517,20812,56.0,60.75
518,20844,32.0,60.75
519,20882,38.0,60.97
520,20933,51.0,60.69
521,21008,75.0,61.23
522,21129,121.0,61.65
523,21159,30.0,60.94
524,21261,102.0,61.44
525,21288,27.0,61.47
526,21317,29.0,61.61
527,21360,43.0,61.62
528,21426,66.0,60.31
529,21492,66.0,60.46
530,21598,106.0,60.93
531,21677,79.0,61.52
532,21701,24.0,61.1
533,21813,112.0,61.91
534,21890,77.0,62.19
535,21908,18.0,62.16
536,22051,143.0,62.64
537,22089,38.0,62.17
538,22241,152.0,63.35
539,22292,51.0,63.57
540,22358,66.0,63.28
541,22462,104.0,64.04
542,22575,113.0,64.5
543,22599,24.0,63.57
544,22651,52.0,63.94
545,22813,162.0,65.32
546,22841,28.0,65.05
547,22969,128.0,66.18
548,23055,86.0,66.39
549,23104,49.0,66.76
550,23230,126.0,67.09
551,23251,21.0,66.39
552,23291,40.0,66.56
553,23322,31.0,66.62
554,23356,34.0,66.09
555,23436,80.0,65.44
556,23488,52.0,65.72
557,23625,137.0,66.89
558,23687,62.0,66.99
559,23709,22.0,66.75
560,23728,19.0,66.54
561,23773,45.0,66.57
562,23784,11.0,66.04
563,23936,152.0,66.88
564,23963,27.0,66.32
565,24051,88.0,66.71
566,24120,69.0,66.26
567,24159,39.0,65.53
568,24198,39.0,65.24
569,24300,102.0,65.69
570,24454,154.0,66.75
571,24521,67.0,67.02
572,24532,11.0,66.63
573,24628,96.0,66.91
574,24783,155.0,67.93
575,24870,87.0,68.01
576,24904,34.0,67.81
577,25001,97.0,68.4
578,25127,126.0,69.06
579,25171,44.0,69.32
580,25206,35.0,69.48
581,25444,238.0,71.05
582,25480,36.0,69.86
583,25665,185.0,70.98
584,25682,17.0,70.79
585,25707,25.0,70.3
586,25742,35.0,70.35
587,25786,44.0,70.43
588,25831,45.0,70.59
589,25948,117.0,71.53
590,26049,101.0,71.89
591,26157,108.0,72.66
592,26319,162.0,72.71
593,26370,51.0,72.66
594,26433,63.0,72.84
595,26479,46.0,72.35
596,26678,199.0,73.98
597,26815,137.0,74.96
598,26935,120.0,75.92
599,26968,33.0,75.9
600,27155,187.0,76.84
601,27290,135.0,76.63
602,27367,77.0,76.77
603,27402,35.0,76.58
604,27480,78.0,76.98
605,27651,171.0,77.51
606,27772,121.0,77.69
607,27814,42.0,76.94
608,27934,120.0,77.62
609,27988,54.0,77.49
610,28074,86.0,77.59
611,28157,83.0,77.57
612,28194,37.0,77.24
613,28310,116.0,77.52
614,28431,121.0,78.14
615,28614,183.0,79.27
616,28700,86.0,79.44
617,28733,33.0,79.21
618,29034,301.0,81.9
619,29094,60.0,82.12
620,29163,69.0,82.3
621,29332,169.0,83.24
622,29379,47.0,82.5
623,29419,40.0,82.6
624,29451,32.0,81.9
625,29509,58.0,82.21
626,29557,48.0,82.4
627,29574,17.0,82.14
628,29623,49.0,81.97
629,29806,183.0,83.14
630,29892,86.0,82.94
631,29980,88.0,83.03
632,30211,231.0,85.1
633,30296,85.0,84.83
634,30454,158.0,85.64
635,30790,336.0,88.82
636,30883,93.0,88.32
637,30968,85.0,88.79
638,30988,20.0,87.47
639,31089,101.0,87.97
640,31398,309.0,90.4
641,31504,106.0,90.42
642,31657,153.0,90.82
643,31812,155.0,92.13
644,31929,117.0,92.78
645,32145,216.0,93.32
646,32246,101.0,94.05
647,32346,100.0,93.77
648,32472,126.0,94.17
649,32499,27.0,93.95
650,32600,101.0,93.7
651,32677,77.0,94.26
652,32744,67.0,94.53
653,32814,70.0,94.92
654,32983,169.0,96.27
655,33175,192.0,97.39
656,33271,96.0,97.83
657,33472,201.0,98.47
658,33647,175.0,99.6
659,33664,17.0,99.55
660,33898,234.0,101.7
661,34179,281.0,104.06
662,34282,103.0,104.98
663,34364,82.0,104.28
664,34501,137.0,105.38
665,34661,160.0,106.1
666,34821,160.0,107.01
667,34851,30.0,106.92
668,34925,74.0,107.27
669,34970,45.0,106.7
670,35043,73.0,105.89
671,35110,67.0,105.89
672,35295,185.0,107.63
673,35425,130.0,107.97
674,35492,67.0,107.09
675,35650,158.0,107.8
676,35858,208.0,109.54
677,36142,284.0,111.41
678,36292,150.0,111.65
679,36434,142.0,112.63
680,36516,82.0,113.1
681,36715,199.0,112.71
682,36846,131.0,113.66
683,36877,31.0,112.12
684,36916,39.0,112.34
685,37049,133.0,113.42
686,37130,81.0,113.88
687,37211,81.0,114.25
688,37233,22.0,114.02
689,37429,196.0,114.81
690,37455,26.0,114.06
691,37587,132.0,114.3
692,37711,124.0,113.92
693,37894,183.0,115.24
694,37975,81.0,115.42
695,38155,180.0,116.76
696,38360,205.0,116.82
697,38520,160.0,117.05
698,38617,97.0,116.82
699,38716,99.0,117.48
700,39216,500.0,120.61
701,39316,100.0,120.26
702,39403,87.0,120.36
703,39845,442.0,124.43
704,39981,136.0,125.01
705,40114,133.0,124.63
706,40186,72.0,124.14
707,40223,37.0,124.09
708,40332,109.0,123.98
709,40551,219.0,125.63
710,40636,85.0,125.62
711,40742,106.0,125.85
712,40764,22.0,125.7
713,41061,297.0,127.51
714,41207,146.0,127.76
715,41313,106.0,126.99
716,41577,264.0,128.77
717,41661,84.0,129.28
718,41789,128.0,127.55
719,41958,169.0,128.64
720,42006,48.0,128.43
721,42167,161.0,128.35
722,42374,207.0,129.95
723,42460,86.0,130.41
724,42588,128.0,131.37
725,42660,72.0,131.51
726,42924,264.0,133.67
727,43058,134.0,134.84
728,43159,101.0,135.36
729,43342,183.0,135.36
730,43490,148.0,135.98
731,43623,133.0,136.43
732,43776,153.0,135.65
733,43933,157.0,136.37
734,44111,178.0,136.57
735,44271,160.0,134.81
736,44437,166.0,135.54
737,44488,51.0,135.2
738,44606,118.0,136.18
739,44661,55.0,135.72
740,44786,125.0,133.88
741,45040,254.0,135.36
742,45218,178.0,135.61
743,45500,282.0,136.88
744,45662,162.0,137.33
745,45732,70.0,135.87
746,45893,161.0,136.47
747,46048,155.0,137.02
748,46222,174.0,137.5
749,46279,57.0,137.8
750,46518,239.0,139.18
751,46616,98.0,139.39
752,46686,70.0,139.42
753,46887,201.0,140.73
754,47285,398.0,143.02
755,47435,150.0,142.6
756,47632,197.0,143.61
757,47898,266.0,144.26
758,48149,251.0,145.02
759,48294,145.0,146.3
760,48374,80.0,144.76
761,48464,90.0,142.85
762,48578,114.0,142.96
763,48684,106.0,143.2
764,48886,202.0,143.85
765,48999,113.0,143.38
766,49028,29.0,142.07
767,49198,170.0,143.47
768,49369,171.0,144.44
769,49538,169.0,145.68
770,49649,111.0,146.06
771,49779,130.0,146.69
772,49907,128.0,146.12
773,50078,171.0,146.53
774,50335,257.0,148.43
775,50367,32.0,147.17
776,50496,129.0,146.38
777,50927,431.0,147.85
778,51221,294.0,149.29
779,51352,131.0,149.18
780,51560,208.0,150.44
781,51615,55.0,149.0
782,51723,108.0,148.77
783,51982,259.0,151.05
784,52164,182.0,152.48
785,52391,227.0,153.42
786,52410,19.0,152.8
787,52458,48.0,152.47
788,52738,280.0,155.05
789,52896,158.0,154.67
790,52928,32.0,154.73
791,53217,289.0,156.3
792,53523,306.0,158.12
793,53621,98.0,157.27
794,53728,107.0,157.53
795,53842,114.0,156.87
796,53980,138.0,156.2
797,54185,205.0,156.65
798,54229,44.0,156.12
799,54353,124.0,156.37
800,54526,173.0,153.1
801,54599,73.0,152.83
802,54815,216.0,154.12
803,54968,153.0,151.23
804,55005,37.0,150.24
805,55081,76.0,149.67
806,55264,183.0,150.78
807,55295,31.0,150.72
808,55446,151.0,151.14
809,55517,71.0,149.66
810,55556,39.0,149.2
811,55607,51.0,148.65
812,55744,137.0,149.8
813,55867,123.0,148.06
814,56074,207.0,148.67
815,56106,32.0,147.93
816,56321,215.0,147.44
817,56517,196.0,148.56
818,56723,206.0,149.34
819,56945,222.0,149.87
820,57095,150.0,150.89
821,57263,168.0,150.96
822,57457,194.0,150.83
823,57727,270.0,152.67
824,57961,234.0,153.73
825,58094,133.0,154.34
826,58210,116.0,152.86
827,58374,164.0,153.16
828,58504,130.0,153.45
829,58676,172.0,153.34
830,58861,185.0,153.71
831,59019,158.0,153.96
832,59122,103.0,153.46
833,59282,160.0,153.49
834,59390,108.0,152.79
835,59563,173.0,152.92
